City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current description,Rain (Inches),Snow (Inches)
68,Kaputa,ZM,-8.47,29.66,74.86,61,15,2.51,few clouds,0.0,0.0
69,Uruzgan,AF,32.83,66.0,71.76,21,0,1.5,clear sky,0.0,0.0
70,Husavik,IS,66.04,-17.34,53.6,62,40,13.87,scattered clouds,0.0,0.0
71,Saint-Philippe,RE,-21.36,55.77,71.6,64,22,8.05,few clouds,0.0,0.0
72,Havre-Saint-Pierre,CA,50.23,-63.6,62.6,82,90,10.29,overcast clouds,0.0,0.0
73,Pagsangahan,PH,13.22,122.54,82.17,78,3,6.67,clear sky,0.0,0.0
74,Goderich,CA,43.75,-81.72,55.0,92,87,8.99,overcast clouds,0.0,0.0
75,Khatanga,RU,71.97,102.5,34.83,88,100,7.99,overcast clouds,0.0,0.0
76,Remedios,CU,22.49,-79.55,87.8,70,75,10.29,broken clouds,0.0,0.0
77,Iqaluit,CA,63.75,-68.51,28.4,86,90,6.93,light snow,0.0,0.0
78,Busselton,AU,-33.65,115.33,57.99,76,85,15.79,overcast clouds,0.0,0.0
79,Klaksvik,FO,62.23,-6.59,60.8,63,95,16.11,overcast clouds,0.0,0.0
80,Cape Town,ZA,-33.93,18.42,57.99,93,0,1.12,clear sky,0.0,0.0
81,Fortuna,US,40.6,-124.16,55.99,100,90,5.17,light rain,0.0,0.0
82,Arraial Do Cabo,BR,-22.97,-42.03,78.8,57,5,5.82,clear sky,0.0,0.0
83,Bluff,NZ,-46.6,168.33,45.43,74,26,7.31,scattered clouds,0.0,0.0
84,Roma,US,43.21,-75.46,68.0,59,75,9.17,broken clouds,0.0,0.0
85,Vila Franca Do Campo,PT,37.72,-25.43,64.4,93,75,14.99,light intensity drizzle rain,0.0,0.0
86,Naze,JP,28.37,129.48,75.2,94,90,5.82,overcast clouds,0.0,0.0
87,Nanortalik,GL,60.14,-45.24,39.51,79,97,6.8,overcast clouds,0.0,0.0
88,Arinos,BR,-15.92,-46.11,76.66,47,14,3.11,few clouds,0.0,0.0
89,Ancud,CL,-41.87,-73.82,48.2,70,0,11.41,clear sky,0.0,0.0
90,Pascagoula,US,30.37,-88.56,89.6,49,40,3.76,scattered clouds,0.0,0.0
91,Seydi,TM,39.48,62.91,89.06,11,0,13.0,clear sky,0.0,0.0
92,Bogandinskiy,RU,56.89,65.89,64.4,59,20,6.71,few clouds,0.0,0.0
93,Tuktoyaktuk,CA,69.45,-133.04,32.0,87,20,8.05,few clouds,0.0,0.0
94,Myrhorod,UA,49.97,33.61,55.42,91,77,8.08,broken clouds,0.0,0.0
95,Port Elizabeth,ZA,-33.92,25.57,55.4,93,0,2.24,mist,0.0,0.0
96,Verkhoyansk,RU,67.54,133.38,32.52,88,0,2.82,clear sky,0.0,0.0
97,Chuy,UY,-33.7,-53.46,69.46,68,19,6.13,few clouds,0.0,0.0
98,Hithadhoo,MV,-0.6,73.08,84.58,67,71,7.16,broken clouds,0.0,0.0
99,Durban,ZA,-29.86,31.03,64.99,88,75,2.91,broken clouds,0.0,0.0
100,Peniche,PT,39.36,-9.38,70.0,83,75,8.01,broken clouds,0.0,0.0
101,Port Alfred,ZA,-33.59,26.89,57.0,84,1,1.99,clear sky,0.0,0.0
102,Qaanaaq,GL,77.48,-69.36,30.54,92,7,2.75,clear sky,0.0,0.0
103,Yellowknife,CA,62.46,-114.35,55.99,30,5,12.75,clear sky,0.0,0.0
104,Olga,RU,43.74,135.29,51.71,69,0,4.68,clear sky,0.0,0.0
105,Cabedelo,BR,-6.98,-34.83,84.2,74,40,11.41,scattered clouds,0.0,0.0
106,Leningradskiy,RU,69.38,178.42,39.61,75,0,3.91,clear sky,0.0,0.0
107,Karaton,ID,-6.34,106.1,80.6,83,40,4.7,scattered clouds,0.0,0.0
108,Atuona,PF,-9.8,-139.03,80.47,78,14,19.75,light rain,0.0,0.0
109,Meulaboh,ID,4.14,96.13,78.91,90,100,4.65,light rain,0.0,0.0
110,Tacuarembo,UY,-31.73,-55.98,71.46,71,88,9.66,overcast clouds,0.0,0.0
111,Kurchum,KZ,48.57,83.65,60.17,57,38,8.88,scattered clouds,0.0,0.0
112,Mayahi,NE,13.96,7.67,102.42,11,74,5.06,broken clouds,0.0,0.0
113,Geraldton,AU,-28.77,114.6,57.2,93,90,4.7,overcast clouds,0.0,0.0
114,Belz,FR,47.68,-3.17,78.8,26,38,12.75,scattered clouds,0.0,0.0
115,Mandera,KE,3.94,41.87,86.0,41,98,11.18,overcast clouds,0.0,0.0
116,La Tiza,PA,7.75,-80.28,85.51,68,98,3.44,moderate rain,0.1,0.0
117,Asau,RO,46.43,26.4,57.0,56,19,4.43,few clouds,0.0,0.0
118,Pekan,MY,3.48,103.4,78.8,94,20,2.24,few clouds,0.0,0.0
119,Victoria,HK,22.29,114.16,84.0,83,74,10.0,light rain,0.0,0.0
120,Mahebourg,MU,-20.41,57.7,71.6,88,20,2.24,few clouds,0.0,0.0
121,Kruisfontein,ZA,-34.0,24.73,53.44,89,0,3.56,clear sky,0.0,0.0
122,Raudeberg,NO,61.99,5.14,63.0,59,22,11.41,few clouds,0.0,0.0
123,Mega,ET,4.05,38.3,59.63,80,57,6.67,broken clouds,0.0,0.0
124,Chulman,RU,56.85,124.91,36.0,76,66,4.76,broken clouds,0.0,0.0
125,Katsuura,JP,35.13,140.3,68.0,88,75,6.93,broken clouds,0.0,0.0
126,Bethel,US,41.37,-73.41,77.0,49,20,10.29,few clouds,0.0,0.0
127,Virovitica,HR,45.83,17.38,59.0,47,9,10.29,clear sky,0.0,0.0
128,Ahuimanu,US,21.44,-157.84,86.0,55,90,8.05,overcast clouds,0.0,0.0
129,Siljan,NO,59.29,9.71,73.0,43,0,3.91,clear sky,0.0,0.0
130,Namibe,AO,-15.2,12.15,75.74,62,14,11.79,few clouds,0.0,0.0
131,Kendari,ID,-3.94,122.5,76.1,91,35,1.7,light rain,0.0,0.0
132,Banda Aceh,ID,5.56,95.32,80.74,81,97,5.75,overcast clouds,0.0,0.0
133,Lethem,GY,3.38,-59.8,89.62,54,39,6.04,scattered clouds,0.0,0.0
134,Buraydah,SA,26.33,43.98,98.6,19,0,8.05,clear sky,0.0,0.0
