City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Paamiut,GL,2020-05-25 02:00:20,61.99,-49.67,35.91,88,87,23.82
70,Senador Jose Porfirio,BR,2020-05-25 02:00:20,-2.59,-51.95,75.25,93,74,1.83
71,Lebu,CL,2020-05-25 02:00:21,-37.62,-73.65,56.48,95,11,2.24
72,New Norfolk,AU,2020-05-25 02:00:23,-42.78,147.06,50.0,82,2,1.9
73,Lompoc,US,2020-05-25 02:00:23,34.64,-120.46,64.4,63,1,14.99
74,Saskylakh,RU,2020-05-25 02:00:23,71.92,114.08,49.26,78,100,10.07
75,Jaicos,BR,2020-05-25 02:00:23,-7.36,-41.14,72.21,91,0,3.06
76,Tucuman,AR,2020-05-25 01:59:13,-26.82,-65.22,50.0,81,0,5.82
77,Paraiso,CR,2020-05-25 02:00:12,9.84,-83.87,69.8,100,75,4.7
78,Aksarka,RU,2020-05-25 02:00:24,66.56,67.8,42.75,65,1,15.66
79,Khatanga,RU,2020-05-25 02:00:24,71.97,102.5,54.32,66,100,17.31
80,Warrnambool,AU,2020-05-25 02:00:24,-38.38,142.48,55.99,78,0,8.39
81,Tiksi,RU,2020-05-25 02:00:24,71.69,128.87,40.44,92,100,4.27
82,College,US,2020-05-25 02:00:24,64.86,-147.8,60.8,59,90,3.36
83,Chokurdakh,RU,2020-05-25 02:00:24,70.63,147.92,33.17,100,100,6.82
84,Seymchan,RU,2020-05-25 02:00:24,62.88,152.43,47.82,50,99,10.36
85,Gorontalo,ID,2020-05-25 02:00:25,0.54,123.06,90.68,56,81,1.12
86,Egvekinot,RU,2020-05-25 02:00:25,66.32,-179.17,31.41,94,66,5.77
87,Hervey Bay,AU,2020-05-25 02:00:25,-25.3,152.85,70.0,55,0,7.0
88,Lorengau,PG,2020-05-25 02:00:25,-2.02,147.27,86.61,67,92,4.76
89,Tucurui,BR,2020-05-25 02:00:25,-3.77,-49.67,75.49,92,99,2.46
90,Arraial Do Cabo,BR,2020-05-25 02:00:25,-22.97,-42.03,67.53,85,100,9.78
91,Hobyo,SO,2020-05-25 02:00:25,5.35,48.53,82.2,73,0,25.9
92,Longyearbyen,SJ,2020-05-25 02:00:26,78.22,15.64,39.2,64,75,3.36
93,Barrow,US,2020-05-25 02:00:26,71.29,-156.79,33.8,80,75,11.41
94,Victoria,HK,2020-05-25 01:56:01,22.29,114.16,86.0,94,85,1.01
95,Dongning,CN,2020-05-25 02:00:30,44.06,131.12,69.46,35,6,9.66
96,Sao Paulo De Olivenca,BR,2020-05-25 02:00:30,-3.38,-68.87,70.16,97,95,2.55
97,Hilo,US,2020-05-25 02:00:30,19.73,-155.09,80.6,61,90,8.05
98,Lavrentiya,RU,2020-05-25 02:00:30,65.58,-171.0,35.08,95,100,7.74
99,Axim,GH,2020-05-25 02:00:31,4.87,-2.24,79.47,86,80,8.61
100,Natalinsk,RU,2020-05-25 02:00:31,56.47,57.87,58.41,89,100,1.59
101,Coquimbo,CL,2020-05-25 02:00:32,-29.95,-71.34,50.0,93,100,3.36
102,Vostok,RU,2020-05-25 02:00:32,46.49,135.88,48.4,95,100,1.32
103,Muroto,JP,2020-05-25 02:00:32,33.28,134.15,75.2,60,75,5.82
104,Bredasdorp,ZA,2020-05-25 02:00:33,-34.53,20.04,53.6,71,0,6.93
